outcome,predictor,coefficient,std_error,z_value,p_value,odds_ratio,significant,predictor_group,predictor_label
Digital,gender_catOther or not stated,0.10905335047218984,0.4954631471333787,0.22010385858795806,0.825790269778709,1.1152218463664632,FALSE,Gender,Other or not stated
Digital,income_band$100K to $124K,0.7621263334091835,0.33588552584123876,2.269006178519921,0.023267950145048122,2.142827745977972,TRUE,Income,$100K to $124K
Digital,income_band$125K to $149K,1.5364041550994512,0.47383474317501206,3.242489448545938,0.0011849033575583867,4.647847248545721,TRUE,Income,$125K to $149K
Digital,income_band$150K plus,0.9090751779897611,0.3526284191076906,2.5779974861077064,0.009937472091375188,2.4820260393132236,TRUE,Income,$150K plus
Digital,income_band$25K to $49K,0.29822716525938187,0.22585524188904255,1.320434995287353,0.18668982602678774,1.3474678509986648,FALSE,Income,$25K to $49K
Digital,income_band$50K to $74K,0.56008465554765,0.2330704364804646,2.4030703507718143,0.016258059369734124,1.7508207107086977,TRUE,Income,$50K to $74K
Digital,income_band$75K to $99K,0.9583056722231473,0.25254665906492463,3.7945687967972144,1.4790026946798207e-4,2.607275150186582,TRUE,Income,$75K to $99K
Digital,(Intercept),0.4672823544841179,0.29798424998209566,1.5681444724417297,0.11684741973158164,1.5956518792802736,FALSE,Intercept,(Intercept)
Quality,age_band25-36,0.2942462294126797,0.27428293195497233,1.0727835936250842,0.28336822359558234,1.34211433100831,FALSE,Age,25-36
Quality,age_band37-56,0.040735650117611134,0.2555787018423777,0.15938593405460647,0.8733648202461157,1.0415767284634652,FALSE,Age,37-56
Quality,age_band57-65,0.12199516556371187,0.292062919875135,0.4177016569438811,0.6761652607043638,1.1297486400692944,FALSE,Age,57-65
Quality,age_band66+,0.024697269403188237,0.303066929805461,0.08149113933031704,0.9350513712335176,1.025004773244251,FALSE,Age,66+
Quality,kids_flagHave kids < 18,-0.25745351839468517,0.16917040458732563,-1.5218590924501092,0.1280443911043898,0.7730175565753948,FALSE,Children,Have kids < 18
Quality,gender_catMale,-0.0927585614898318,0.1510661868143279,-0.6140259673320496,0.5391981678765803,0.9114135240573628,FALSE,Gender,Male
Quality,gender_catOther or not stated,0.24680362592821878,0.4835027199181457,0.5104493020639083,0.6097367241390956,1.279927743475299,FALSE,Gender,Other or not stated
Quality,income_band$100K to $124K,2.6794299430612365,0.39048003399571124,6.861887189578214,6.795675133730583e-12,14.576781331616504,TRUE,Income,$100K to $124K
Quality,income_band$125K to $149K,3.5192978769833876,0.5038785454486571,6.984416996460485,2.8603786006442533e-12,33.7607159645419,TRUE,Income,$125K to $149K
Quality,income_band$150K plus,3.635554969654263,0.3893900433217947,9.336538085669064,0,37.92289311314108,TRUE,Income,$150K plus
Quality,income_band$25K to $49K,1.640347938546749,0.324863649109911,5.049342833650713,4.433324991559573e-7,5.156963506504794,TRUE,Income,$25K to $49K
Quality,income_band$50K to $74K,2.1665901283147333,0.32541415559129,6.657946776709686,2.7768010113504715e-11,8.72847027542349,TRUE,Income,$50K to $74K
Quality,income_band$75K to $99K,2.4303110929564653,0.3407997169154553,7.1312004450971145,9.949818746690653e-13,11.362416297916512,TRUE,Income,$75K to $99K
Quality,(Intercept),-1.8216890107073913,0.3930375094753844,-4.6348986210983565,3.5711245114367074e-6,0.16175231868568077,TRUE,Intercept,(Intercept)
Selection,age_band25-36,1.0201892623760773,0.3321470365774232,3.0714989147231844,0.002129869383977967,2.773719675066045,TRUE,Age,25-36
Selection,age_band37-56,0.6008482039362951,0.31764521697817155,1.8915701286243047,0.058548279012614834,1.8236649843763688,FALSE,Age,37-56
Selection,age_band57-65,0.8105803543577308,0.34903416568078094,2.3223524630510526,0.02021396478633175,2.249212948505832,TRUE,Age,57-65
Selection,age_band66+,0.4430469395346686,0.3628569249935341,1.2209962357548045,0.22208744502781252,1.5574454383901808,FALSE,Age,66+
Selection,kids_flagHave kids < 18,-0.4121322198506897,0.17865181103125793,-2.3069019982035375,0.02106028411812666,0.6622367094243853,TRUE,Children,Have kids < 18
Selection,gender_catMale,0.1291010146100717,0.16242755972931916,0.7948221030052709,0.42671699179650147,1.1378050532946695,FALSE,Gender,Male
Selection,gender_catOther or not stated,0.6113950988573996,0.49623625170952046,1.232064559473759,0.21792496888655744,1.8430007743729444,FALSE,Gender,Other or not stated
Selection,income_band$100K to $124K,1.7232219748347768,0.3648710608095968,4.722824471228804,2.3259158485888776e-6,5.602550692443948,TRUE,Income,$100K to $124K
Selection,income_band$125K to $149K,2.8257459933631672,0.47681101033644635,5.926343838765951,3.097536671603507e-9,16.873527831921585,TRUE,Income,$125K to $149K
Selection,income_band$150K plus,2.0094925060677062,0.3742378228670178,5.369560165439938,7.892890230287719e-8,7.459530719977118,TRUE,Income,$150K plus
Selection,income_band$25K to $49K,0.505034956890452,0.29129281182238975,1.7337707502318576,0.0829587674372092,1.657043444534587,FALSE,Income,$25K to $49K
Selection,income_band$50K to $74K,1.398775899633837,0.2780502197761489,5.030659212425567,4.887962903321608e-7,4.050239032040915,TRUE,Income,$50K to $74K
Selection,income_band$75K to $99K,1.7044730515836826,0.29629625744777904,5.752597303339509,8.788265448700372e-9,5.498487484410089,TRUE,Income,$75K to $99K
Selection,(Intercept),-1.8308775866497837,0.3997003880462304,-4.580624991632531,4.635884541581703e-6,0.16027285272350555,TRUE,Intercept,(Intercept)
